date,close,volume,open,high,low,ln,,,,
11/12/2008,79.74,11365480,80.73,82.4,79.57,-0.054542337,,,average,-0.000286996
11/13/2008,84.21,15103070,79.62,84.39,75.4,0.047170529,,,,
11/14/2008,80.33,12023310,82.63,85.4,79.5,0.036123312,,,variance,0.000172253
11/17/2008,77.48,10319190,79.4,79.74,77.16,-0.033006296,,,,
11/18/2008,80.08,13050180,79.13,80.93,77,0.052687609,,,,
11/19/2008,75.97,12605510,79.93,81,75.73,0.057290053,,,std_dev,0.013124508
11/20/2008,71.74,17633110,75,78.39,70.51,-0.04283836,,,,
11/21/2008,74.88,19802850,72.74,76.98,69.5,-0.064763856,,,,
11/24/2008,79.89,15023130,75.74,82.09,75,-0.009468116,,,drift,-0.000373122
11/25/2008,80.65,12519640,81.37,82.4,78.22,-0.012567933,,,,
11/26/2008,81.67,8240531,79.52,81.79,78.61,0.000857475,,,,
11/28/2008,81.6,3908651,81,81.9,80.1,0.059323385,,,,
12/1/2008,76.9,10264710,80.95,81.36,76.79,-0.037518755,,,,
12/2/2008,79.84,9305187,77.8,80,76.14,-0.010342127,,,,
12/3/2008,80.67,9756865,78.62,81,76.99,0.040863316,,,last_price,153.42
12/4/2008,77.44,10913910,80.03,80.83,76.18,-0.039871129,,,,
12/5/2008,80.59,11211940,76.78,81.5,75.31,-0.051628267,,,,
12/8/2008,84.86,11177170,82.57,85.88,81.73,0.025904164,,,,
12/9/2008,82.69,9356264,83.82,85.434,82.2,-0.002053761,,,#days,219
12/10/2008,82.86,8186111,83.95,84.99,81.83,0.027901957,,,,
12/11/2008,80.58,10681410,81.5,82.86,79.77,-0.019904822,,,,
12/12/2008,82.2,10380300,78.68,82.94,78.06,-0.006910375,,,,
12/15/2008,82.77,8848200,82.51,83.54,80,-0.042921999,,,,
12/16/2008,86.4,11559800,83.11,86.84,82.87,0.006502577,,,,
12/17/2008,85.84,8597011,85.44,87.27,84.6566,0.021668299,,,,
12/18/2008,84,8022949,85.77,86.64,82.96,0.005730675,,,,
12/19/2008,83.52,13098450,85.22,85.22,82.97,0.018488836,,,,
12/22/2008,81.99,7083299,83.27,83.45,80.32,0.017098639,,,,
12/23/2008,80.6,6369803,82.35,82.81,80.13,0.000993049,,,,
12/24/2008,80.52,2419543,80.55,81.22,79.92,-0.010009351,,,,
12/26/2008,81.33,3101280,80.93,81.8,80.55,0.000984131,,,,
12/29/2008,81.25,6062522,81.72,81.72,79.68,-0.027914434,,,,
12/30/2008,83.55,5767951,81.83,83.64,81.52,-0.007274494,,,,
12/31/2008,84.16,6667617,83.5,85,83.5,-0.037432225,,,,
1/2/2009,87.37,7557927,83.89,87.59,83.89,0.006314964,,,,
1/5/2009,86.82,8315617,86.42,87.67,86.18,-0.027380296,,,,
1/6/2009,89.23,9650534,87.11,90.41,86.37,0.016269707,,,,
1/7/2009,87.79,8454880,87.83,88.8,87.12,0.006972652,,,,
1/8/2009,87.18,7231753,87.81,88.14,85.98,0.028859345,,,,
1/9/2009,84.7,7440255,87.05,87.5,84.25,-0.011853903,,,,
1/12/2009,85.71,8072171,84.57,86.6,84.42,0.004326227,,,,
1/13/2009,85.34,7657127,85.5,86.59,84.79,0.025516129,,,,
1/14/2009,83.19,9469992,84.2,84.82,82.11,-0.011117203,,,,
1/15/2009,84.12,11734420,83.61,84.83,82.256,-0.009465286,,,,
1/16/2009,84.92,11244260,84.61,85.74,83.08,0.035234322,,,,
1/20/2009,81.98,13650320,84.76,84.92,81.76,-0.108988958,,,,
1/21/2009,91.42,24898950,86.29,91.6,86,0.014877127,,,,
1/22/2009,90.07,12350620,89.83,90.74,88.11,0.006460259,,,,
1/23/2009,89.49,10253410,88.4,90.7,87.81,-0.023304384,,,,
1/26/2009,91.6,9840078,89.77,92.67,89.52,-0.000654807,,,,
1/27/2009,91.66,8720715,91.77,91.97,90.5,-0.033894278,,,,
1/28/2009,94.82,13406170,92.7,94.94,91.91,0.024663611,,,,
1/29/2009,92.51,9228268,93.58,94.58,92.02,0.009339772,,,,
1/30/2009,91.65,9535963,92.23,93.48,91.25,0.007886995,,,,
2/2/2009,90.93,9895132,90.6,91.86,89.69,-0.02765753,,,,
2/3/2009,93.48,8865123,91.07,93.73,90.16,0.006977646,,,,
2/4/2009,92.83,10188630,93.74,94.91,91.82,0.004534666,,,,
2/5/2009,92.41,11622310,92.13,93.2,91.22,-0.039570265,,,,
2/6/2009,96.14,13055860,92.51,97.1,91.65,-0.007048122,,,,
2/9/2009,96.82,8165654,95.93,96.98,94.72,0.037355072,,,,
2/10/2009,93.27,13535550,95.58,96.82,92.96,-0.020061173,,,,
2/11/2009,95.16,10762840,93.48,95.77,93,0.000946223,,,,
2/12/2009,95.07,9916250,94.41,95.2,92.2,0.013022258,,,,
2/13/2009,93.84,6738670,94.79,95.18,93.57,0.034364663,,,,
2/17/2009,90.67,8895476,91.73,92.49,90.5,-0.009221714,,,,
2/18/2009,91.51,8464834,91.17,92.25,90.4406,0.028598713,,,,
2/19/2009,88.93,12620950,91.06,92.16,88.45,0.001575512,,,,
2/20/2009,88.79,12400290,88.05,89.9,87.34,0.051062143,,,,
2/23/2009,84.37,13427590,89.3,89.33,84.19,-0.023775788,,,,
2/24/2009,86.4,12752020,84.63,87.08,84.1,0.005803847,,,,
2/25/2009,85.9,12609220,86,87.12,82.85,-0.035115405,,,,
2/26/2009,88.97,17422310,86.85,90.2,86.33,-0.033815377,,,,
2/27/2009,92.03,21311090,88.12,93.28,88.01,0.032916601,,,,
3/2/2009,89.05,15230650,91.17,91.9,88.75,0.014478253,,,,
3/3/2009,87.77,13727880,90.16,90.18,87.19,-0.019407131,,,,
3/4/2009,89.49,15387760,88.97,91.24,87.602,0.022716691,,,,
3/5/2009,87.48,14911200,88.13,90.16,87.02,0.019274646,,,,
3/6/2009,85.81,15186820,87.47,88.25,83.81,0.027528468,,,,
3/9/2009,83.48,13151300,84.7,86.8,83.02,-0.044170479,,,,
3/10/2009,87.25,15914220,85.11,87.25,83.64,-0.015580005,,,,
3/11/2009,88.62,11823830,87.51,89.54,86.72,-0.019886702,,,,
3/12/2009,90.4,11829150,88.59,90.6,87.49,0.000442576,,,,
3/13/2009,90.36,9111801,90.4,90.65,89.29,-0.00947248,,,,
3/16/2009,91.22,11793270,91.65,93,90.54,-0.018357111,,,,
3/17/2009,92.91,11489640,91.11,92.91,90.45,0.010386332,,,,
3/18/2009,91.95,17952160,89.46,92.9,89.41,-0.007691929,,,,
3/19/2009,92.66,9897187,92.84,93.35,91.51,0.001620133,,,,
3/20/2009,92.51,12193680,93.16,95,92.18,-0.064869512,,,,
3/23/2009,98.71,12402640,93.7,98.71,93.7,0.004162231,,,,
3/24/2009,98.3,9346638,97.69,99.55,97.52,0.003566883,,,,
3/25/2009,97.95,12016040,98.47,99.86,96.09,-0.008438011,,,,
3/26/2009,98.78,11418470,98.47,99.2,97.75,0.0480059,,,,
3/27/2009,94.15,15738770,95.99,96,92.75,-0.003922197,,,,
3/30/2009,94.52,10963300,92,94.74,91.8,-0.024764862,,,,
3/31/2009,96.89,14552160,94.96,98.66,94.85,-0.007403633,,,,
4/1/2009,97.61,12129790,96.13,98,95.7,-0.032356801,,,,
4/2/2009,100.82,16197560,99.15,101.99,98.38,-0.013790605,,,,
4/3/2009,102.22,10957260,99.73,102.66,99.71,0.006477597,,,,
4/6/2009,101.56,8816241,100.9,101.85,100,0.028058353,,,,
4/7/2009,98.75,8754740,100.173,100.5,98.52,-0.024408534,,,,
4/8/2009,101.19,7283624,99.45,101.55,99,-0.005027365,,,,
4/9/2009,101.7,8013689,102.01,102.45,100.25,0.017357242,,,,
4/13/2009,99.95,7790433,100.28,101.65,99.04,0.00682665,,,,
4/14/2009,99.27,6273516,99.08,99.95,98.27,0.004239861,,,,
4/15/2009,98.85,8164190,98.23,99.06,96.44,-0.025765356,,,,
4/16/2009,101.43,9259021,99.74,101.92,99.18,0.001578688,,,,
4/17/2009,101.27,10211880,101.18,102.04,99.69,0.00832925,,,,
4/20/2009,100.43,12485360,100.29,101.1899,99.21,-0.018546452,,,,
4/21/2009,102.31,15209710,98.41,102.48,98.2,-0.002343065,,,,
4/22/2009,102.55,12119980,101.17,103.86,101.06,0.011080174,,,,
4/23/2009,101.42,9433623,102.65,102.78,99.8,0.013300444,,,,
