Macrotrends Data Download,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date, value,ln(st/st-1),,,,,,,,,,,,
11/14/2008,729.5,-0.02102485,,,AVERAGE,-0.000243418,,,,,,,,
11/17/2008,745,0.011474982,,,,,,,,,,,,
11/18/2008,736.5,-0.001695778,,,,,,,,,,,,
11/19/2008,737.75,-0.010114719,,,Variance,0.000119516,,,,,,,,
11/20/2008,745.25,-0.017623066,,,,,,,,,,,,
11/21/2008,758.5,-0.073990252,,,,,,,,,,,,
11/24/2008,816.75,0.017601195,,,std dev,0.010932347,,,,,,,,0.010932347
11/25/2008,802.5,-0.01790724,,,,,,,,,,,,
11/26/2008,817,0.004293168,,,,,,,,,,,,
11/27/2008,813.5,0,,,,,,,,,,,,
11/28/2008,813.5,0.022375079,,,drift,-0.000303176,,,,,,,,-0.000303176
12/1/2008,795.5,0.029338839,,,,,,,,,,,,
12/2/2008,772.5,-0.001293661,,,,,,,,,,,,
12/3/2008,773.5,0.000970089,,,,,,,,,,,,
12/4/2008,772.75,0.001294918,,,# days,219,,,,,,,,
12/5/2008,771.75,-0.000647668,,,,,,,,,,,,
12/8/2008,772.25,0.001619958,,,last_price,1296.5,,,,,,,,
12/9/2008,771,-0.018950302,,,,,,,,,,,,
12/10/2008,785.75,-0.043884434,,,,,,,,,,,,
12/11/2008,821,0.008869916,,,,,,,,,,,,
12/12/2008,813.75,-0.016755914,,,,,,,,,,,,
12/15/2008,827.5,-0.007224595,,,,,,,,,,,,
12/16/2008,833.5,-0.024004709,,,,,,,,,,,,
12/17/2008,853.75,-0.021724243,,,,,,,,,,,,
12/18/2008,872.5,0.039151948,,,,,,,,,,,,
12/19/2008,839,-0.008308653,,,,,,,,,,,,
12/22/2008,846,0.002366865,,,,,,,,,,,,
12/23/2008,844,0.008627155,,,,,,,,,,,,
12/24/2008,836.75,-0.051532286,,,,,,,,,,,,
12/29/2008,881,0.012564414,,,,,,,,,,,,
12/30/2008,870,0.005763705,,,,,,,,,,,,
12/31/2008,865,-0.005476307,,,,,,,,,,,,
1/2/2009,869.75,0.011273425,,,,,,,,,,,,
1/5/2009,860,0.018779895,,,,,,,,,,,,
1/6/2009,844,-0.023420274,,,,,,,,,,,,
1/7/2009,864,0.025199107,,,,,,,,,,,,
1/8/2009,842.5,-0.013557532,,,,,,,,,,,,
