date,close,volume,open,high,low,ln,,,,
11/12/2008,6.56,197276,6.99,7.03,6.56,-0.015128882,,,average,-0.000997563
11/13/2008,6.66,525047,6.54,6.69,6.11,0.036701367,,,,
11/14/2008,6.42,79682,6.65,6.7,6.4,-0.058974002,,,variance,0.00091864
11/17/2008,6.81,138863,6.55,7.07,6.55,-0.004395611,,,,
11/18/2008,6.84,190944,6.97,7.06,6.61,-0.00583092,,,,
11/19/2008,6.88,179957,6.96,7.12,6.86,0.022043508,,,std_dev,0.03030907
11/20/2008,6.73,272672,6.82,6.94,6.63,0.039399035,,,,
11/21/2008,6.47,176672,6.75,6.75,6.02,-0.099936248,,,,
11/24/2008,7.15,255146,6.6,7.37,6.56,0.002801122,,,drift,-0.001456883
11/25/2008,7.13,130446,7.26,7.43,7.05,-0.009769792,,,,
11/26/2008,7.2,111378,7.04,7.34,6.94,-0.032789823,,,,
11/28/2008,7.44,51589,7.13,7.48,7.13,0.013532006,,,,
12/1/2008,7.34,231358,7.26,7.57,7.1,-0.05177002,,,last_price,64.7
12/2/2008,7.73,183530,7.47,7.82,7.47,-0.011575692,,,,
12/3/2008,7.82,94128,7.57,7.89,7.35,0,,,,
12/4/2008,7.82,199101,7.88,8.17,7.77,-0.043784354,,,,
12/5/2008,8.17,168091,7.77,8.19,7.61,-0.059399882,,,#days,219
12/8/2008,8.67,244154,8.35,8.92,8.34,0.019802627,,,,
12/9/2008,8.5,139049,8.59,8.9,8.35,0.005899722,,,,
12/10/2008,8.45,186493,8.69,8.72,8.3,0.025166097,,,,
12/11/2008,8.24,169464,8.35,8.57,8.16,0.025815816,,,,
12/12/2008,8.03,104059,8.13,8.19,7.92,0.052408158,,,,
12/15/2008,7.62,235698,8.11,8.11,7.2,-0.090286847,,,,
12/16/2008,8.34,418433,7.76,8.43,7.7,0.013277202,,,,
12/17/2008,8.23,143374,8.28,8.4999,8.03,0.028344473,,,,
12/18/2008,8,161782,7.75,8.1,7.55,-0.034401427,,,,
12/19/2008,8.28,90767,7.97,8.43,7.76,0.044451763,,,,
12/22/2008,7.92,133938,8.2,8.2,7.78,-0.031077703,,,,
12/23/2008,8.17,246468,7.9,8.58,7.65,0.036141005,,,,
12/24/2008,7.88,39425,8.11,8.11,7.66,-0.043458111,,,,
12/26/2008,8.23,16520,8.16,8.23,7.98,0.029595255,,,,
12/29/2008,7.99,72431,7.99,8.15,7.69,-0.019827167,,,,
12/30/2008,8.15,116729,8.07,8.177,8.01,0.036231321,,,,
12/31/2008,7.86,196810,7.95,8.06,7.41,-0.067634868,,,,
1/2/2009,8.41,285176,8.26,8.44,8.18,0.052483063,,,,
1/5/2009,7.98,209470,8.34,8.4,7.87,-0.027195743,,,,
1/6/2009,8.2,268363,8.15,8.31,7.98,0.001220256,,,,
1/7/2009,8.19,175232,8.06,8.37,7.4,-0.018149319,,,,
1/8/2009,8.34,196350,8.28,8.42,8.06,-0.010733556,,,,
1/9/2009,8.43,109137,8.28,8.68,8.15,0.016746803,,,,
1/12/2009,8.29,146243,8.49,8.55,8.17,0.053263363,,,,
1/13/2009,7.86,289479,8.21,8.27,7.74,0.023167059,,,,
1/14/2009,7.68,97784,7.73,8,7.31,-0.034552382,,,,
1/15/2009,7.95,143104,7.62,7.95,7.45,0.002518893,,,,
1/16/2009,7.93,48425,8,8,7.8,0.006325132,,,,
1/20/2009,7.88,431793,8,8.04,7.7,-0.07573826,,,,
1/21/2009,8.5,205226,7.89,8.52,7.88,-0.039220713,,,,
1/22/2009,8.84,202130,8.34,9.03,8.29,-0.03882906,,,,
1/23/2009,9.19,212834,8.7,9.47,8.65,-0.005425949,,,,
1/26/2009,9.24,144190,9.27,9.5,9.01,0.005425949,,,,
1/27/2009,9.19,216417,9.31,9.66,9.08,0.020891359,,,,
1/28/2009,9,512323,9.27,9.54,8.82,0.032752786,,,,
1/29/2009,8.71,315585,8.85,9.06,8.48,0.007779898,,,,
1/30/2009,8.6425,153558,8.81,8.93,8.51,0.013102531,,,,
2/2/2009,8.53,140534,8.62,8.67,8.48,-0.019158786,,,,
2/3/2009,8.695,106949,8.65,8.73,8.53,0.005188827,,,,
2/4/2009,8.65,109544,8.76,9.01,8.64,-0.005763705,,,,
2/5/2009,8.7,174170,8.63,8.92,8.43,-0.011428696,,,,
2/6/2009,8.8,130863,8.78,8.9,8.75,0.005698021,,,,
2/9/2009,8.75,54592,8.77,8.79,8.6301,0.034887259,,,,
2/10/2009,8.45,133212,8.65,8.73,8.45,-0.004722559,,,,
2/11/2009,8.49,197034,8.5,8.6,8.43,0.010657294,,,,
2/12/2009,8.4,92817,8.47,8.51,8.38,-0.004750603,,,,
2/13/2009,8.44,63761,8.4,8.51,8.32,0.01072077,,,,
2/17/2009,8.35,83124,8.36,8.4885,8.25,0.002398083,,,,
2/18/2009,8.33,86631,8.41,8.46,8.21,-0.002398083,,,,
2/19/2009,8.35,68511,8.33,8.45,8.2378,0.006006024,,,,
2/20/2009,8.3,76172,8.23,8.49,8.23,0.018237588,,,,
2/23/2009,8.15,239246,8.09,8.23,8.04,-0.024243612,,,,
2/24/2009,8.35,92431,8.22,8.44,8.18,0.012048339,,,,
2/25/2009,8.25,98741,8.2,8.5,8.05,0.006079046,,,,
2/26/2009,8.2,41908,8.33,8.54,8.19,-0.009708814,,,,
2/27/2009,8.28,98639,8.07,8.44,8.02,0.021978907,,,,
3/2/2009,8.1,217390,8.04,8.25,7.86,0.025001302,,,,
3/3/2009,7.9,271269,8.06,8.13,7.84,0,,,,
3/4/2009,7.9,218622,7.94,8.19,7.85,-0.011328,,,,
3/5/2009,7.99,196271,7.77,8.09,7.67,0.030497916,,,,
3/6/2009,7.75,92837,7.99,8,7.66,0.051632911,,,,
3/9/2009,7.36,276913,7.68,7.72,6.9,-0.020175533,,,,
3/10/2009,7.51,175064,7.43,7.5281,7.27,0.005340467,,,,
3/11/2009,7.47,116410,7.46,7.49,7.25,-0.044509965,,,,
3/12/2009,7.81,153369,7.39,7.88,7.31,-0.037692904,,,,
3/13/2009,8.11,173135,7.85,8.31,7.85,-0.046968295,,,,
3/16/2009,8.5,174842,8.08,8.51,7.98,-0.047108078,,,,
3/17/2009,8.91,175238,8.57,8.98,8.51,-0.007825641,,,,
