date,close,volume,open,high,low,ln,,,,,
12/11/2008,7.34,16112960,7.56,7.74,7.25,-0.078574433,,,,,
13/11/2008,7.94,19929380,7,7.95,6.8602,0.102007621,,,,,
14/11/2008,7.17,18520130,7.62,7.66,7.14,0.021142437,,,,,
17/11/2008,7.02,9704739,7.1,7.29,6.95,0.033312276,,,,,
18/11/2008,6.79,14091130,7.16,7.2,6.56,0.086074609,,,,,
19/11/2008,6.23,12503360,6.73,6.9,6.2,0.054423982,,,,Avarge,-0.001291721
20/11/2008,5.9,21173410,6.18,6.49,5.83,-0.078215746,,,,,
21/11/2008,6.38,14943620,6.09,6.38,5.75,-0.063754515,,,,Varience,0.000716202
24/11/2008,6.8,15004660,6.77,6.88,6.4,-0.027557944,,,,,
25/11/2008,6.99,13202860,7.1,7.115,6.79,-0.084982616,,,,,
26/11/2008,7.61,15016920,6.87,7.63,6.83,0.018568173,,,,std_dev,0.026708365
28/11/2008,7.47,4397222,7.49,7.6,7.37,0.089570326,,,,,
01/12/2008,6.83,13677030,7.17,7.24,6.823,-0.054144278,,,,,
02/12/2008,7.21,11997180,6.96,7.295,6.87,-0.050044248,,,,,
03/12/2008,7.58,14615290,6.93,7.59,6.87,0.068239292,,,,Drift,-0.001649822
04/12/2008,7.08,11657260,7.43,7.8,6.91,-0.038786025,,,,,
05/12/2008,7.36,10962090,6.86,7.39,6.74,0.033152207,,,,,
08/12/2008,7.12,17693350,7.5,7.65,6.95,-0.092497238,,,,last day,193.5
09/12/2008,7.81,20741450,7.03,8.09,6.95,-0.090526319,,,,,
10/12/2008,8.55,24027760,7.96,8.75,7.83,0.043017385,,,,days,219
11/12/2008,8.19,14565230,8.5,8.8,8.09,-0.048848305,,,,,
12/12/2008,8.6,16980650,7.95,8.65,7.79,0.033099948,,,,,
15/12/2008,8.32,11923700,8.65,8.7,8.05,-0.065139302,,,,,
16/12/2008,8.88,12991810,8.4,8.9,8.32,-0.048361072,,,,,
17/12/2008,9.32,16805790,8.72,9.45,8.6,0.096813455,,,,,
18/12/2008,8.46,13765600,9.26,9.2899,8.35,-0.007067167,,,,,
19/12/2008,8.52,14817430,8.57,8.9,8.49,0.060477919,,,,,
22/12/2008,8.02,13061520,8.65,8.6703,7.71,0.01381064,,,,,
23/12/2008,7.91,9435381,8.07,8.24,7.79,0.024313418,,,,,
24/12/2008,7.72,3669361,7.75,7.94,7.56,0.027578898,,,,,
26/12/2008,7.51,5650616,7.72,7.82,7.3,-0.031457378,,,,,
29/12/2008,7.75,11503300,7.61,7.7515,7.12,-0.034245579,,,,,
30/12/2008,8.02,10239870,7.85,8.14,7.67,-0.00621506,,,,,
31/12/2008,8.07,11039410,7.92,8.27,7.78,-0.076318309,,,,,
02/01/2009,8.71,12428080,8.07,8.77,8.04,-0.018203005,,,,,
05/01/2009,8.87,17643380,8.61,9.07,8.55,-0.033480569,,,,,
06/01/2009,9.172,16436480,9.13,9.43,8.93,0.06207028,,,,,
07/01/2009,8.62,21748810,8.96,8.96,8.3075,0.025853379,,,,,
08/01/2009,8.4,25260160,8.51,8.51,7.88,0.05757867,,,,,
09/01/2009,7.93,19028800,8.4,8.4,7.91,0.041189864,,,,,
12/01/2009,7.61,16136860,7.93,7.97,7.5,-0.005242476,,,,,
13/01/2009,7.65,45603290,7.35,7.939,7.21,0.045462374,,,,,
14/01/2009,7.31,24371790,7.38,7.47,7.2,-0.034949794,,,,,
15/01/2009,7.57,24954980,7.35,7.69,7.2,-0.053997692,,,,,
16/01/2009,7.99,20780580,7.78,8.0599,7.53,0.102721808,,,,,
20/01/2009,7.21,17610670,7.97,8,7.15,-0.047402239,,,,,
21/01/2009,7.56,16210090,7.35,7.61,7.08,0.018692133,,,,,
22/01/2009,7.42,13691370,7.32,7.62,7.15,-0.03833913,,,,,
23/01/2009,7.71,15668600,7.21,7.94,7.2,-0.033166305,,,,,
26/01/2009,7.97,14542550,7.745,8.2025,7.62,-0.057297816,,,,,
27/01/2009,8.44,18124250,8.1,8.5,8.07,-0.040632403,,,,,
28/01/2009,8.79,18092580,8.74,8.93,8.46,0.059771743,,,,,
29/01/2009,8.28,10326060,8.5,8.6,8.24,0.04067104,,,,,
30/01/2009,7.95,12668920,8.22,8.44,7.85,-0.052675986,,,,,
02/02/2009,8.38,14448530,7.83,8.47,7.79,-0.011862535,,,,,
03/02/2009,8.48,9922639,8.4,8.55,8.17,-0.027908788,,,,,
04/02/2009,8.72,19478370,8.5,9.15,8.5,-0.070826053,,,,,
05/02/2009,9.36,22979530,8.49,9.46,8.4,-0.053054563,,,,,
06/02/2009,9.87,28945350,9.39,9.93,9.23,0.013258736,,,,,
09/02/2009,9.74,17902860,9.83,9.97,9.47,0.044078489,,,,,
10/02/2009,9.32,27710320,9.73,9.86,9.14,0.134144701,,,,,
11/02/2009,8.15,49582700,8.575,8.89,7.86,-0.020644328,,,,,
12/02/2009,8.32,25599970,7.97,8.37,7.86,0.001202646,,,,,
13/02/2009,8.31,19106180,8.13,8.41,8.07,0.059497099,,,,,
17/02/2009,7.83,19483550,8,8.19,7.8,-0.026466573,,,,,
